,ABW,AFG,AGO,AIA,ALB,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
ABW,0.0,1929.4728575251397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884157.1267135562,0.0,0.0,0.0,0.0,0.0,34.494302762925194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48675.92563930478,0.0,1216.0575270852569,1114.719399828152,7677.262003090091,0.0,0.0,0.0,0.0,0.0,775914.1457888157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388206.0375074029,0.0,696.7540874396337,0.0,2758.7260347106717,0.0,3019.4568444753863,0.0,0.0,0.0,0.0,0.0,0.0,4614027.080002842,0.0,0.0,0.0,0.0,0.0,0.0,888034.2202265194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.2074379436272,0.0,0.0,12638.063888229708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5679.934859902943,0.0,0.0,0.0,0.0,273658.4465579198,0.0,464023.0662798289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65863.36334704392,0.0,583.1755244138384,0.0,0.0,0.0,0.0,720.5943422842467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87391.2824072135,0.0,0.0,0.0,0.0,0.0,145.37859139879984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.3789918297146,0.0,0.0,0.0,0.0,2626.2269449647733,589.5611509104593,0.0,1936325.5137441333,0.0,0.0,0.0,0.0,0.0,0.0,346601.0064998501,0.0,54.52960270137609,0.0,0.0,0.0,190726.831935866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4250786.649862953,0.0,0.0,0.0,0.0,3430.1739689335814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51023.806174752564,0.0,291996.13710939983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.3956543423617,0.0,0.0,0.0,0.0,296.02548578991974,0.0,0.0,0.0,2439.22072991251,60201.06547759665,0.0,0.0,626937.935237743,0.0,0.0,1393.5081748792675,0.0,0.0,0.0,149076504.51783052,0.0,0.0,0.0
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4338.11043872299,0.0,0.0,0.0,0.0,988854.9760743282,16715.890842594086,1114.7535394578433,0.0,203504.62062711146,0.0,0.0,12969.280002255358,0.0,60816.25439435778,0.0,0.0,6675384.078304307,0.0,0.0,0.0,427645.43376764556,23066.381465691295,1621.2766259486416,0.0,0.0,0.0,0.0,1029789.9253608584,0.0,12881.824580509707,27297.869255303125,907881.2284252702,0.0,4726.108878338208,1267.6411429559023,0.0,0.0,29390.39480890805,0.0,508.32711263952166,0.0,0.0,0.0,0.0,0.0,25096.42121584085,7760819.102483352,0.0,0.0,179827.19524613398,0.0,129402.40985511619,0.0,47452.456177404056,0.0,0.0,428656.2600449508,0.0,2393.7467639251863,0.0,113.38591056739217,0.0,70731.65802933772,0.0,0.0,0.0,1983260.8327671806,0.0,0.0,0.0,0.0,0.0,0.0,33560.82516371462,0.0,0.0,4536.01574704111,0.0,0.0,0.0,0.0,1540.5169273116596,29396.234119727258,0.0,0.0,132628.77746867607,127521588.45715287,0.0,0.0,22452877.967748072,9124594.626760185,0.0,0.0,833831.1769171885,0.0,712282.4933704468,0.0,7793741.733476509,0.0,76243.15727733006,0.0,0.0,19566.65383535388,53696.03465615295,0.0,426269.4234062122,0.0,0.0,0.0,0.0,66166.98990371275,0.0,163647.02468376662,0.0,432577.34628893505,52385264.72511572,16469.52642289556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2172.072388018411,0.0,48151.50012913426,0.0,0.0,12761.254341352515,0.0,354744.5485401935,0.0,0.0,0.0,0.0,54617.62553821091,0.0,0.0,2919022.516392254,28223.601486430238,79150.85095961911,0.0,92920.73711311325,0.0,520806592.8036796,0.0,0.0,0.0,128441.8267514768,0.0,0.0,948344.8301324645,0.0,0.0,5462.394252563634,0.0,0.0,0.0,53097.67293891605,0.0,48437412.14020531,0.0,787214.4607054405,0.0,1959447.1692850788,172879.49430209966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3895.7317122761056,0.0,0.0,0.0,10771.860437663338,0.0,139291.147771347,0.0,4358.274456630343,298113.1269095086,0.0,0.0,0.0,1187702.9282445186,111580.58178083619,0.0,1782655.9008542292,0.0,0.0,130.05700601341985,61611.73317706039,0.0,0.0,0.0,351.2743038305332,7065.436876571498,1009648.5497772486,0.0,0.0,3276420.2360936375,23384.962482486288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24692.35782265192,0.0,0.0,0.0
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260478.95185082365,3376.947427645854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817428.6548880752,0.0,0.0,0.0,0.0,77699.47948876047,0.0,0.0,0.0,0.0,0.0,2555.5550260956447,0.0,0.0,5291.975555916641,2935.9339544814607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156045.72360399886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9099214.12413219,0.0,0.0,0.0,0.0,0.0,49.391128261437565,0.0,0.0,0.0,252.10037070908635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.7712249808524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170942.9272832623,0.0,0.0,39356701.47038431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185848.09544227138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902577.658085949,0.0,0.0,0.0,0.0,0.0,0.0,325.14063847909784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28531603.46263166,0.0,0.0,0.0,0.0,0.0,40.052793054350865,0.0,0.0,0.0,2710.5241095612096,246.22525381463265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6331.856743981452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129733.19985172691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18883.08501749642,13128.859886813105,37089.095275713415
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.74070286231202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874.1036893064443,0.0,0.0,0.0,0.0,398.96037111516114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.82709778430391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4644.790943520433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.4309809112913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.15353845434095,0.0,0.0,0.0,0.0,0.0,19419.649185214104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,4764.8217892659995,76.37250371686585,0.0,0.0,0.0,0.0,8219.290881724899,38293.46779436753,0.0,190.0338238186955,8091.509079831702,0.0,3397.5365701805968,0.0,1142171.578958664,258211.84626336562,0.0,447856.8883565213,414086.85403367813,261.1051337904212,0.0,0.0,36753.3175261397,1041.1654331049965,0.0,0.0,0.0,0.0,0.0,182155.99033382462,0.0,108943.17431028618,0.0,36594.4511419804,5947.667795737717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.3475420029549,194932.14947783726,2961048.4761487413,0.0,255.6100490081007,99636.24035286861,0.0,574769.1797569458,0.0,10834.554440686772,0.0,0.0,255311.84731295166,1582.182013518621,36810.85712133836,31.672303969782586,0.0,0.0,783916.9114361149,0.0,0.0,0.0,54033.47594784241,0.0,0.0,0.0,0.0,0.0,0.0,7039920.535585385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465587.6800225117,0.0,352010.96309868834,26304.988124488413,45885.502033028875,0.0,0.0,36930.44650001368,134442.9024915181,0.0,1689.2858542229596,15321713.474316355,0.0,19980.351433227494,32786.690213709255,1261.4717935439169,0.0,0.0,0.0,0.0,489004.846640941,153.791482309475,0.0,0.0,0.0,0.0,0.0,0.0,1024.255271203871,0.0,38166.26113388303,32.14304387578645,57923.232198775346,2097.8079106664068,4453.484315218187,0.0,0.0,7148.718148484697,0.0,0.0,0.0,930.5612317709515,0.0,1227973.8096782737,0.0,0.0,0.0,7432.030358406044,0.0,8956.322606366897,25560.490426311244,5451.201637891035,0.0,829.500376017847,26773.701194394347,0.0,2642827.7822307283,1530.5046025694326,0.0,102878.23448807349,7063.770090976725,447.1119619271226,0.0,0.0,5082.002542479358,0.0,0.0,0.0,0.0,18287.071176850972,0.0,0.0,149360.2098958186,0.0,0.0,0.0,0.0,0.0,0.0,210972.8675458463,218720.22733810046,456841.61519523023,0.0,3352.654314346555,0.0,2078278.7340358878,0.0,0.0,0.0,0.0,0.0,2508.6114819948125,0.0,0.0,0.0,0.0,5708901.329654985,0.0,0.0,0.0,767838.9936551172,358287.54113053647,4567.337689949452,0.0,0.0,0.0,0.0,0.0,215.6299809278642,1474.8294794524802,0.0,0.0,0.0,0.0,0.0,95.0695082307714,15228.322652846147,0.0,0.0,566.5350822718123,0.0,0.0,61590.27257150781,0.0,86194.86216108648,2098561.4033442554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6158.636730922901,0.0,0.0
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,723812.394138652,35526.19613306955,219430177.54659963,0.0,14968435.999039676,0.0,0.0,5546534.687360211,0.0,0.0,0.0,315017.4325589889,1053279060.4776034,2895020.1146825044,48099050.49711762,1846439.990790156,652010386.8668009,3567572.906891095,1681670.6546837576,1376716042.6451461,9396482.887026371,19281948.242349114,296095.5603660909,5832584.596226763,306392116.8537257,12117.54864465759,17479.29541724007,479942578.2886001,8547328725.324428,2230556.5565675595,12619426.535157537,0.0,0.0,45599.51297050496,3461.1628217006746,92207066.67023998,0.0,30814948.484886903,2862867356.0572457,18087464928.84569,53535037.057348564,52782695.07076654,39494901.13801388,39545542.43668374,0.0,3004174424.8631573,4170.830156626125,14815747.777266983,64092460.06932494,456195431.05189574,0.0,0.0,98775484.15125196,3618604.37634911,623469069.541663,30473139.18323894,504296.7110981972,1421269712.4981291,456183443.4903874,4266093266.440847,724507255.8729631,4735290360.759208,240115.02251185942,0.0,3434166750.6822543,6043095.139220899,31958186.98833108,14945808.39748021,1119514.8741981387,0.0,1010277963.8034829,3724.7433682286082,0.0,617982.0028372409,1997067119.9865658,43764633.453871734,36285941.54127464,0.0,760747.0523824433,1761473.9550832792,188217.94138037908,372976346.80360913,338505.03589749825,5159.105641509368,185318955.09231764,0.0,0.0,3653745.3448503697,0.0,30007905.320448373,16240178.058807572,40592834.856639795,9788676.332847126,4267010412.993881,5311872390.201023,0.0,472326079.84743345,4171668654.6099343,194253931.8955505,6614506.383704506,134910494.67885256,3026541758.146112,6222386.210243741,584961510.4736147,1146668952.489116,10469588.571422674,181634008.0834889,1087734.9115729406,2912915.974740688,0.0,2117390257.6968548,118996224.74268505,0.0,224946619.88586882,721057.1047700953,393502897.3778886,298975.30048729025,0.0,4956967.643577367,27071.984263238497,178175988.06436735,576073.0074690355,409751870.8598109,1510306549.4874716,4326603.21490287,60865754.99330844,274524.4595685545,340265632.0370572,0.0,0.0,8593434.727518477,7568476.17418975,750258.5439941497,680294.8840667476,3406406.888214839,0.0,240216147.6025123,32253765.40772037,5365.292019506427,230373277.58014148,30609408.01470101,3423124524.8851123,13580297.438139146,45675.257649331805,62586.754393767136,0.0,235099279.64850822,45615343.818852276,0.0,4728651470.409589,10678574.036843894,284813808.45046395,0.0,204420028.6842163,151406755.75657868,560769270.8749998,146794315.75047114,67.48945416118659,2667509025.619028,1489968950.858029,0.0,30504.675116995233,2168515409.019449,0.0,0.0,288854926.5900259,175095582.21738827,0.0,1222090.5285445834,2835467.9125373424,209851331.5516344,476440396.24261117,8728048.040515063,2133686146.6187227,0.0,261995499.28110266,25790341.950518653,0.0,0.0,0.0,49715.69570835024,7471586.091838632,17432044.27522765,55430.7534342322,0.0,0.0,8136949.339778986,0.0,828.4429034762908,10241538.197288938,1711072.2328258725,142320103.38709795,13042863.582789123,0.0,4666.141328017956,832893497.0241714,0.0,215889.04935092913,1329596.0774164048,1833600601.3897424,113997.49040587916,0.0,5963.217129848169,0.0,0.0,21690354.887011975,669603203.8900807,0.0,0.0,393521886.55694336,141469529.62208217,34969417.08148786,35710954.23125792,0.0,635447957.2858679,1267205016.3346198,25429474.168028504,234892.85413634317,1774842582.2289946,0.0,0.0,4126356802.2795386,0.0,0.0,0.0,656380640.9073882,2421853645.2027435,1268706.2316313013,9294828.187654657
ARM,0.0,0.0,55.66882680131068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748259.4875693986,465.75296571082043,0.0,0.0,22105.31270073291,0.0,0.0,0.0,30287.17321592675,3591.4285613388756,0.0,0.0,435179.9812779415,0.0,0.0,0.0,19472.775507439183,1059.8974146722662,0.0,0.0,0.0,0.0,0.0,7659.731018937741,0.0,9533.790754207534,0.0,46228.39369303137,1410.9947167219632,2197.1984298433626,0.0,0.0,0.0,0.0,0.0,0.0,28584.418838908914,0.0,0.0,0.0,3905.229052036155,32451.189210732453,157408.72295973968,0.0,0.0,728.2685321387127,0.0,10132.581332593858,0.0,116329.53509403822,0.0,0.0,493.773531495749,55226.831715477594,0.0,0.0,0.0,0.0,139168.3406225845,0.0,0.0,0.0,1620.9022421411273,31309118.01142688,0.0,0.0,0.0,0.0,0.0,30576.018772924137,0.0,0.0,15989.138753592415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22446.28632821248,118338.27034775041,6806.399983129269,0.0,0.0,443491.2219241613,844616.466730555,0.0,30049.135674083696,225536.28751099342,0.0,1016.7077118767128,1458.881961016605,219192.76193749567,0.0,8712.824236853006,0.0,0.0,4312.078719181321,0.0,0.0,5000.004596994774,0.0,0.0,0.0,0.0,0.0,0.0,95121.25791359965,0.0,98601.81395230313,0.0,9111.211323440786,0.0,0.0,14530.777551977946,0.0,0.0,0.0,5326.917016354765,283.2740983060089,0.0,3129.613517064175,0.0,0.0,7762.559318545415,0.0,0.0,0.0,14768.860487443344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18474.969128289653,0.0,0.0,0.0,4105.216029004336,0.0,272476.7069676714,1989.0928755328293,0.0,0.0,0.0,0.0,0.0,91284.82705898545,0.0,0.0,0.0,0.0,0.0,0.0,318.3740030753709,223.34490168196695,53270948.94900081,0.0,0.0,0.0,10299.269071755445,14587.02836844819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2407.148316849624,0.0,8957.883811234638,0.0,0.0,18671.68236921144,0.0,0.0,0.0,154614.04276784067,2409.379733010614,0.0,82877.40243323073,0.0,0.0,0.0,0.0,0.0,0.0,118.8787174980945,0.0,0.0,2084338.6864876433,0.0,0.0,680869.0787211139,2532.142006673502,0.0,0.0,0.0,0.0,4077.92531219392,0.0,0.0,0.0,9395916.617655067,16413.54702299475,0.0,0.0
ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101594.65879292079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29048.567288111968,423.9546404763608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4170.408124483188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11476.18799108239,0.0,0.0,0.0,3333.282516349999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6727136.4728283845,80774.54093260698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.89610806724762,0.0,0.0,0.0,184.79936670852297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.2402701681191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9667.076836324171,0.0,0.0,0.0,129342.38358280837,0.0,0.0,425.3972451566918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11151.53685060843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.428416954555,146.36622221823814,0.0,0.0,1673.5857874501098,329.604108061036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238818.05803536836,43014.45500847284,0.0,0.0,0.0,0.0,855.3721919119182,893.7945182042363,20095.687931120483,0.0,0.0,0.0,0.0,2236.039191695573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6468.5357019475405,0.0,0.0
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21589.375119425764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1175615849183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
